0,CombatZoneResize,241,226,406,391,,,,,,,
0,GasterBlaster,1,0,480,$X5,$Y6,0,0,0,2,0,
0,GasterBlaster,1,640,480,$X6,$Y6,-90,0,0,2,0,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,Y,$HeartY,100,,,,,,,,
0,SUB,X,$HeartX,100,,,,,,,,
0,ADD,Y2,$HeartY,100,,,,,,,,
0,ADD,X2,$HeartX,100,,,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,$Y,90,0,0,0,0,
0,GasterBlaster,0,640,$HeartY,$X2,$HeartY,180,0,0,0,0,
0,GasterBlaster,0,$HeartX,480,$HeartX,$Y2,-90,0,0,0,0,
0,GasterBlaster,0,0,$HeartY,$X,$HeartY,0,0,0,0,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X3,$HeartX,100,,,,,,,,
0,SUB,Y3,$HeartY,100,,,,,,,,
0,ADD,Y4,$HeartY,100,,,,,,,,
0,ADD,X4,$HeartX,100,,,,,,,,
0,GasterBlaster,0,0,0,$X3,$Y3,45,0,0,0,0,
0,GasterBlaster,0,640,0,$X4,$Y3,135,0,0,0,0,
0,GasterBlaster,0,0,480,$X3,$Y4,-45,0,0,0,0,
0,GasterBlaster,0,640,480,$X4,$Y4,-135,0,0,0,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X5,$HeartX,50,,,,,,,,
0,SUB,Y5,$HeartY,50,,,,,,,,
0,ADD,Y6,$HeartY,50,,,,,,,,
0,ADD,X6,$HeartX,50,,,,,,,,
0,GasterBlaster,0,0,0,$X5,$Y5,90,0,0,0,0,
0,GasterBlaster,0,640,0,$X6,$Y5,180,0,0,0,0,
0,GasterBlaster,0,0,480,$X5,$Y6,0,0,0,0,0,
0,GasterBlaster,0,640,480,$X6,$Y6,-90,0,0,0,0,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,Y,$HeartY,100,,,,,,,,
0,SUB,X,$HeartX,100,,,,,,,,
0,ADD,Y2,$HeartY,100,,,,,,,,
0,ADD,X2,$HeartX,100,,,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,$Y,90,0,0,0,0,
0,GasterBlaster,0,640,$HeartY,$X2,$HeartY,180,0,0,0,0,
0,GasterBlaster,0,$HeartX,480,$HeartX,$Y2,-90,0,0,0,0,
0,GasterBlaster,0,0,$HeartY,$X,$HeartY,0,0,0,0,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X3,$HeartX,100,,,,,,,,
0,SUB,Y3,$HeartY,100,,,,,,,,
0,ADD,Y4,$HeartY,100,,,,,,,,
0,ADD,X4,$HeartX,100,,,,,,,,
0,GasterBlaster,0,0,0,$X3,$Y3,45,0,0,0,0,
0,GasterBlaster,0,640,0,$X4,$Y3,135,0,0,0,0,
0,GasterBlaster,0,0,480,$X3,$Y4,-45,0,0,0,0,
0,GasterBlaster,0,640,480,$X4,$Y4,-135,0,0,0,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X5,$HeartX,50,,,,,,,,
0,SUB,Y5,$HeartY,50,,,,,,,,
0,ADD,Y6,$HeartY,50,,,,,,,,
0,ADD,X6,$HeartX,50,,,,,,,,
0,GasterBlaster,0,0,0,$X5,$Y5,90,0,0,0,0,
0,GasterBlaster,0,640,0,$X6,$Y5,180,0,0,0,0,
0,GasterBlaster,0,0,480,$X5,$Y6,0,0,0,0,0,
0,GasterBlaster,0,640,480,$X6,$Y6,-90,0,0,0,0,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,Y,$HeartY,100,,,,,,,,
0,SUB,X,$HeartX,100,,,,,,,,
0,ADD,Y2,$HeartY,100,,,,,,,,
0,ADD,X2,$HeartX,100,,,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,$Y,90,0,0,0,0,
0,GasterBlaster,0,640,$HeartY,$X2,$HeartY,180,0,0,0,0,
0,GasterBlaster,0,$HeartX,480,$HeartX,$Y2,-90,0,0,0,0,
0,GasterBlaster,0,0,$HeartY,$X,$HeartY,0,0,0,0,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X3,$HeartX,100,,,,,,,,
0,SUB,Y3,$HeartY,100,,,,,,,,
0,ADD,Y4,$HeartY,100,,,,,,,,
0,ADD,X4,$HeartX,100,,,,,,,,
0,GasterBlaster,0,0,0,$X3,$Y3,45,0,0,0,0,
0,GasterBlaster,0,640,0,$X4,$Y3,135,0,0,0,0,
0,GasterBlaster,0,0,480,$X3,$Y4,-45,0,0,0,0,
0,GasterBlaster,0,640,480,$X4,$Y4,-135,0,0,0,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X5,$HeartX,50,,,,,,,,
0,SUB,Y5,$HeartY,50,,,,,,,,
0,ADD,Y6,$HeartY,50,,,,,,,,
0,ADD,X6,$HeartX,50,,,,,,,,
0,GasterBlaster,0,0,0,$X5,$Y5,90,0,0,0,0,
0,GasterBlaster,0,640,0,$X6,$Y5,180,0,0,0,0,
0,GasterBlaster,0,0,480,$X5,$Y6,0,0,0,0,0,
0,GasterBlaster,0,640,480,$X6,$Y6,-90,0,0,0,0,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,Y,$HeartY,100,,,,,,,,
0,SUB,X,$HeartX,100,,,,,,,,
0,ADD,Y2,$HeartY,100,,,,,,,,
0,ADD,X2,$HeartX,100,,,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,$Y,90,0,0,0,0,
0,GasterBlaster,0,640,$HeartY,$X2,$HeartY,180,0,0,0,0,
0,GasterBlaster,0,$HeartX,480,$HeartX,$Y2,-90,0,0,0,0,
0,GasterBlaster,0,0,$HeartY,$X,$HeartY,0,0,0,0,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X3,$HeartX,100,,,,,,,,
0,SUB,Y3,$HeartY,100,,,,,,,,
0,ADD,Y4,$HeartY,100,,,,,,,,
0,ADD,X4,$HeartX,100,,,,,,,,
0,GasterBlaster,0,0,0,$X3,$Y3,45,0,0,0,0,
0,GasterBlaster,0,640,0,$X4,$Y3,135,0,0,0,0,
0,GasterBlaster,0,0,480,$X3,$Y4,-45,0,0,0,0,
0,GasterBlaster,0,640,480,$X4,$Y4,-135,0,0,0,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X5,$HeartX,50,,,,,,,,
0,SUB,Y5,$HeartY,50,,,,,,,,
0,ADD,Y6,$HeartY,50,,,,,,,,
0,ADD,X6,$HeartX,50,,,,,,,,
0,GasterBlaster,0,0,0,$X5,$Y5,90,0,0,0,0,
0,GasterBlaster,0,640,0,$X6,$Y5,180,0,0,0,0,
0,GasterBlaster,0,0,480,$X5,$Y6,0,0,0,0,0,
0,GasterBlaster,0,640,480,$X6,$Y6,-90,0,0,0,0,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,Y,$HeartY,100,,,,,,,,
0,SUB,X,$HeartX,100,,,,,,,,
0,ADD,Y2,$HeartY,100,,,,,,,,
0,ADD,X2,$HeartX,100,,,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,$Y,90,0,0,0,0,
0,GasterBlaster,0,640,$HeartY,$X2,$HeartY,180,0,0,0,0,
0,GasterBlaster,0,$HeartX,480,$HeartX,$Y2,-90,0,0,0,0,
0,GasterBlaster,0,0,$HeartY,$X,$HeartY,0,0,0,0,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X3,$HeartX,100,,,,,,,,
0,SUB,Y3,$HeartY,100,,,,,,,,
0,ADD,Y4,$HeartY,100,,,,,,,,
0,ADD,X4,$HeartX,100,,,,,,,,
0,GasterBlaster,0,0,0,$X3,$Y3,45,0,0,0,0,
0,GasterBlaster,0,640,0,$X4,$Y3,135,0,0,0,0,
0,GasterBlaster,0,0,480,$X3,$Y4,-45,0,0,0,0,
0,GasterBlaster,0,640,480,$X4,$Y4,-135,0,0,0,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X5,$HeartX,50,,,,,,,,
0,SUB,Y5,$HeartY,50,,,,,,,,
0,ADD,Y6,$HeartY,50,,,,,,,,
0,ADD,X6,$HeartX,50,,,,,,,,
0,GasterBlaster,0,0,0,$X5,$Y5,90,0,0,0,0,
0,GasterBlaster,0,640,0,$X6,$Y5,180,0,0,0,0,
0,GasterBlaster,0,0,480,$X5,$Y6,0,0,0,0,0,
0,GasterBlaster,0,640,480,$X6,$Y6,-90,0,0,0,0,
0.5,The world,,,,,,,,,,,
0.2,BoneVRepeat,221,356,30,0,200,0,500,12,,,
0,PlatformRepeat,201,346,30,0,100,0,50,80,,,
2.5,The world off,,,,,,,,,,,
0,Sound,114514,1,,,,,,
0,HeartMode,1,,,,,,,,,,
0,Sound,Ding,,,,,,,,,,
1,SansAnimation,Idle,,,,,,,,,,
0,BoneVVRepeat,201,346,50,0,100,0,2,0,0,100,50
0,BoneVRepeat,416,231,65,2,100,0,100,50,,,
0,GasterBlaster3,6,320,0,320,166,35,0.3,2,2,0.5,
0,GasterBlaster3,6,320,0,320,166,145,0.3,2,2,-0.5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster3,0,320,0,320,166,35,0.6,4,4,0.10,
0,GasterBlaster3,0,320,0,320,166,145,0.6,4,4,-0.10,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster3,1,320,0,320,166,35,0.3,2,2,0.5,
0,GasterBlaster3,1,320,0,320,166,145,0.3,2,2,-0.5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster3,2,320,0,320,166,35,0.3,2,2,0.5,
0,GasterBlaster3,2,320,0,320,166,145,0.3,2,2,-0.5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster3,3,320,0,320,166,35,0.3,2,2,0.5,
0,GasterBlaster3,3,320,0,320,166,145,0.3,2,2,-0.5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster3,4,320,0,320,166,35,0.3,2,2,0.5,
0,GasterBlaster3,4,320,0,320,166,145,0.3,2,2,-0.5,
5,Evil King True Eye,456,166,,,,,,,
16.666666,EndAttack,,,,,,,,,,,
